,policy_id,customer_education,incident_type_breakin,num_injuries,vehicle_claim,driver_relationship_self,driver_relationship_na,authorities_contacted_none,policy_state_nv,auto_year,num_vehicles_involved,policy_annual_premium,customer_gender_male,policy_deductable,policy_liability,driver_relationship_other,collision_type_rear,incident_type_theft,incident_month,num_insurers_past_5_years,police_report_available,authorities_contacted_police,incident_severity,num_claims_past_year,collision_type_na,num_witnesses,collision_type_side,months_as_customer,customer_gender_female,policy_state_az,incident_day,policy_state_id,policy_state_or,injury_claim,customer_age,collision_type_front,authorities_contacted_fire,incident_type_collision,driver_relationship_child,fraud,incident_dow,authorities_contacted_ambulance,policy_state_ca,total_claim_amount,policy_state_wa,incident_hour,driver_relationship_spouse
22,1823,4,0,0,9000.0,1,0,1,0,2018,2,3000,1,750,0,0,0,0,10,1,0,0,0,0,0,2,0,133,0,0,4,0,0,0.0,46,1,0,1,0,0,4,0,1,9000.0,0,9,0
23,3454,3,0,0,8500.0,1,0,1,0,2014,2,3000,0,750,0,0,1,0,10,1,0,0,0,0,0,2,0,146,1,0,3,0,0,0.0,65,0,0,1,0,0,3,0,1,8500.0,0,9,0
24,3456,2,0,0,18000.0,0,1,0,1,2018,1,3000,1,750,2,0,0,1,10,1,0,1,1,0,1,0,0,4,0,0,30,0,0,0.0,30,0,0,0,0,0,2,0,0,18000.0,0,20,0
25,168,3,0,4,13500.0,0,0,0,0,2015,3,3000,0,750,3,1,0,0,11,1,1,1,1,0,0,1,0,176,1,0,29,0,0,16000.0,48,1,0,1,0,0,4,0,1,29500.0,0,15,0
26,1834,3,0,0,19500.0,1,0,0,0,2018,2,2600,1,750,1,0,1,0,6,2,0,1,0,0,0,0,0,45,0,0,3,0,0,0.0,40,0,0,1,0,0,0,0,1,19500.0,0,13,0
27,172,3,0,0,21000.0,0,1,0,0,2016,1,3000,0,750,3,0,0,1,1,5,0,1,1,0,1,0,0,8,1,0,17,0,1,0.0,26,0,0,0,0,0,3,0,0,21000.0,0,4,0
28,1839,2,0,0,15500.0,0,0,0,0,2018,2,2750,1,750,2,1,0,0,3,1,1,1,1,0,0,0,0,64,0,0,16,0,0,0.0,36,1,0,1,0,0,5,0,0,15500.0,1,14,0
29,3479,3,0,3,16000.0,1,0,0,0,2015,3,3000,1,750,0,0,0,0,2,1,1,1,1,0,0,0,0,133,0,1,4,0,0,30000.0,41,1,0,1,0,0,0,0,0,46000.0,0,10,0
30,1858,4,0,0,17000.0,0,1,0,0,2019,1,3000,1,750,1,0,0,1,11,2,0,1,1,0,1,1,0,13,0,1,13,0,0,0.0,44,0,0,0,0,1,2,0,0,17000.0,0,7,0
31,195,4,0,4,16000.0,0,0,0,0,2011,3,3000,1,750,0,0,0,0,8,1,1,1,2,0,0,2,1,105,0,1,23,0,0,30000.0,35,0,0,1,1,0,4,0,0,46000.0,0,9,0
32,198,2,1,0,16000.0,0,1,0,0,2017,1,3000,1,750,3,0,0,0,3,3,0,1,0,0,1,0,0,34,0,0,13,0,0,0.0,22,0,0,0,0,0,2,0,0,16000.0,1,5,0
33,3486,1,0,0,18000.0,1,0,1,0,2016,2,3000,0,750,0,0,1,0,6,1,0,0,0,0,0,0,0,88,1,0,26,0,0,0.0,38,0,0,1,0,0,2,0,1,18000.0,0,11,0
34,3496,3,0,0,24000.0,1,0,0,0,2019,2,2950,1,750,1,0,1,0,12,1,0,1,1,0,0,1,0,71,0,0,6,0,0,0.0,23,0,0,1,0,0,4,0,1,24000.0,0,18,0
35,3512,1,0,0,16500.0,1,0,0,0,2011,4,2400,1,750,0,0,0,0,6,1,1,1,2,0,0,1,1,196,0,1,1,0,0,0.0,51,0,0,1,0,0,5,0,0,16500.0,0,13,0
36,1874,3,1,0,2000.0,0,1,1,0,2011,1,2800,1,750,0,0,0,0,3,2,0,0,0,0,1,0,0,55,0,0,13,0,0,0.0,40,0,0,0,0,0,2,0,1,2000.0,0,4,0
37,3528,4,1,0,1000.0,0,1,0,0,2017,1,2700,1,750,3,0,0,0,5,1,0,1,0,0,1,0,0,62,0,0,10,0,0,0.0,55,0,0,0,0,0,4,0,1,1000.0,0,7,0
38,1875,3,0,0,38000.0,1,0,0,0,2019,4,2650,0,750,3,0,0,0,8,1,1,1,2,0,0,2,0,242,1,0,16,0,0,0.0,58,1,0,1,0,0,4,0,0,38000.0,1,16,0
39,1878,1,0,0,9500.0,0,0,1,0,2017,2,3000,1,750,1,0,0,0,4,1,0,0,0,0,0,0,1,33,0,1,4,0,0,0.0,53,0,0,1,0,0,3,0,0,9500.0,0,5,1
40,1882,4,0,0,12500.0,0,0,0,1,2018,3,3000,1,750,2,0,1,0,1,2,1,1,1,0,0,3,0,11,0,0,21,0,0,0.0,44,0,0,1,0,0,0,0,0,12500.0,0,17,1
41,1900,4,0,0,13500.0,1,0,0,0,2015,1,3000,1,750,3,0,0,0,9,1,0,1,0,0,0,0,1,61,0,0,25,0,0,0.0,64,0,0,1,0,0,2,0,1,13500.0,0,12,0
42,1910,1,0,1,20000.0,0,0,0,0,2017,3,3000,1,750,1,0,0,0,5,1,1,1,1,1,0,0,1,100,0,0,23,0,0,11000.0,46,0,0,1,1,0,3,0,1,31000.0,0,5,0
43,1915,3,0,3,32500.0,1,0,0,0,2016,3,3000,1,750,0,0,1,0,1,2,1,1,2,0,0,1,0,42,0,0,5,0,0,10500.0,62,0,0,1,0,0,5,0,1,43000.0,0,12,0
44,3559,4,0,1,33500.0,1,0,0,0,2015,3,2550,1,750,2,0,0,0,8,1,1,1,2,0,0,2,1,291,0,0,21,0,1,14500.0,49,0,0,1,0,0,2,0,0,48000.0,0,11,0
45,1923,3,0,0,10000.0,1,0,1,0,2013,1,3000,0,750,1,0,0,0,1,1,0,0,0,0,0,0,1,196,1,0,23,0,1,0.0,48,0,0,1,0,0,2,0,0,10000.0,0,7,0
46,230,1,0,1,37500.0,1,0,0,1,2020,3,3000,1,750,2,0,0,0,8,2,1,1,2,0,0,1,0,9,0,0,5,0,0,5500.0,19,1,0,1,0,0,0,0,0,43000.0,0,8,0
47,237,3,1,0,13500.0,0,1,0,0,2018,1,3000,0,750,2,0,0,0,10,1,0,1,0,0,1,0,0,104,1,0,24,0,0,0.0,53,0,0,0,0,0,3,0,1,13500.0,0,17,0
48,1934,3,0,0,12000.0,1,0,1,0,2019,2,3000,1,750,1,0,0,0,9,1,0,0,0,0,0,0,0,36,0,1,16,0,0,0.0,34,1,0,1,0,0,0,0,0,12000.0,0,12,0
49,1936,1,0,0,19000.0,1,0,1,0,2020,2,3000,1,750,1,0,1,0,1,1,0,0,0,0,0,2,0,120,0,0,14,0,0,0.0,45,0,0,1,0,0,0,0,1,19000.0,0,19,0
50,249,3,0,0,13500.0,1,0,0,0,2019,1,2750,0,750,0,0,0,0,1,1,0,1,1,0,0,0,0,75,1,0,30,0,0,0.0,40,1,0,1,0,0,2,0,1,13500.0,0,15,0
51,3577,1,0,4,8000.0,1,0,0,0,2005,2,3000,0,750,2,0,0,0,6,1,1,1,2,0,0,0,0,145,1,0,7,0,0,33500.0,55,1,0,1,0,0,4,0,0,41500.0,1,20,0
52,3579,3,0,0,14500.0,0,0,0,0,2013,2,3000,0,750,2,1,1,0,8,1,1,1,1,0,0,0,0,46,1,0,30,0,0,0.0,50,0,0,1,0,0,4,0,1,14500.0,0,19,0
53,1944,1,0,0,8000.0,1,0,0,0,2012,2,2750,1,750,0,0,0,0,4,1,0,1,1,0,0,1,1,121,0,0,5,0,0,0.0,68,0,0,1,0,0,4,0,1,8000.0,0,16,0
54,1952,3,0,1,23500.0,0,0,0,0,2017,2,3000,0,750,2,1,0,0,12,1,1,1,1,0,0,0,1,95,1,0,15,0,0,1500.0,64,0,0,1,0,0,6,0,1,25000.0,0,16,0
55,3597,3,0,0,32500.0,1,0,0,0,2020,2,2950,0,750,1,0,0,0,4,1,1,1,1,0,0,0,1,292,1,0,9,0,0,0.0,58,0,0,1,0,0,1,0,1,32500.0,0,13,0
56,3617,1,0,0,8000.0,1,0,1,0,2017,1,3000,1,750,1,0,1,0,1,2,0,0,0,0,0,0,0,55,0,0,14,0,1,0.0,54,0,0,1,0,0,0,0,0,8000.0,0,8,0
57,297,1,0,0,5500.0,0,0,1,0,2017,1,3000,1,750,0,1,1,0,1,1,0,0,0,0,0,0,0,115,0,0,31,0,0,0.0,33,0,0,1,0,0,3,0,1,5500.0,0,6,0
58,3634,3,0,0,9000.0,1,0,1,0,2016,2,3000,1,750,0,0,0,0,10,5,0,0,0,0,0,0,1,13,0,1,29,0,0,0.0,48,0,0,1,0,1,1,0,0,9000.0,0,19,0
59,1991,4,1,0,20000.0,0,1,0,0,2019,1,2750,0,750,2,0,0,0,5,1,0,1,0,0,1,0,0,51,1,0,20,0,0,0.0,54,0,0,0,0,0,0,0,1,20000.0,0,8,0
60,332,4,0,0,20000.0,1,0,1,0,2016,2,3000,1,750,1,0,1,0,7,1,0,0,0,0,0,0,0,155,0,0,24,0,0,0.0,48,0,0,1,0,0,2,0,1,20000.0,0,7,0
61,344,1,0,0,24500.0,0,1,0,0,2019,1,3000,0,750,2,0,0,1,4,2,0,1,1,0,1,0,0,4,1,0,2,0,0,0.0,18,0,0,0,0,0,1,0,1,24500.0,0,13,0
62,2018,3,0,0,8500.0,0,0,0,0,2016,2,3000,1,750,1,1,0,0,10,1,1,1,1,0,0,0,0,311,0,1,6,0,0,0.0,69,1,0,1,0,0,6,0,0,8500.0,0,17,0
63,3646,2,0,0,41000.0,1,0,0,0,2020,3,3000,1,750,2,0,0,0,5,3,1,1,2,0,0,2,0,25,0,0,13,0,0,0.0,25,1,0,1,0,0,0,0,1,41000.0,0,10,0
64,348,3,0,1,24000.0,1,0,0,1,2017,2,3000,1,750,1,0,0,0,2,1,1,1,1,1,0,0,1,107,0,0,18,0,0,8000.0,42,0,0,1,0,0,0,0,0,32000.0,0,17,0
65,352,3,1,0,8500.0,0,1,0,0,2014,1,2950,1,750,0,0,0,0,4,1,0,1,0,0,1,0,0,94,0,0,11,0,0,0.0,45,0,0,0,0,0,3,0,1,8500.0,0,11,0
66,353,4,0,0,15000.0,0,0,1,0,2015,2,2750,1,750,2,0,0,0,3,1,0,0,0,0,0,0,0,133,0,1,25,0,0,0.0,35,1,0,1,0,0,0,0,0,15000.0,0,11,1
67,2032,4,1,0,9500.0,0,1,0,0,2013,1,3000,1,750,1,0,0,0,8,1,0,1,0,0,1,0,0,106,0,1,8,0,0,0.0,45,0,0,0,0,0,3,0,0,9500.0,0,7,0
68,3659,3,0,0,20500.0,1,0,0,0,2018,2,3000,1,750,3,0,1,0,12,1,0,1,1,0,0,0,0,169,0,0,6,0,1,0.0,67,0,0,1,0,0,4,0,0,20500.0,0,4,0
69,365,1,1,1,6500.0,0,1,0,0,2013,1,3000,0,750,3,0,0,0,10,1,0,1,1,0,1,0,0,248,1,0,16,1,0,54000.0,46,0,0,0,0,0,2,0,0,60500.0,0,18,0
70,3663,3,0,0,3000.0,0,0,1,0,2009,2,3000,1,750,0,0,0,0,6,1,0,0,0,0,0,1,1,72,0,0,4,0,0,0.0,42,0,0,1,0,0,1,0,1,3000.0,0,5,1
71,371,1,0,0,23500.0,1,0,0,0,2017,2,3000,0,750,0,0,0,0,11,1,0,1,1,0,0,1,0,129,1,1,14,0,0,0.0,71,1,0,1,0,0,3,0,0,23500.0,0,16,0
72,372,3,0,2,36500.0,0,0,0,0,2019,4,3000,1,750,1,0,0,0,11,1,1,1,2,0,0,3,1,51,0,0,1,0,0,25500.0,25,0,0,1,1,0,4,0,1,62000.0,0,15,0
73,3668,3,0,0,9500.0,1,0,0,0,2017,3,3000,1,750,0,0,0,0,1,1,1,1,0,0,0,0,1,63,0,0,7,0,0,0.0,32,0,0,1,0,0,0,0,1,9500.0,0,14,0
74,3673,3,0,1,15500.0,0,0,0,0,2018,2,2850,1,750,1,0,0,0,10,1,1,1,1,0,0,1,0,175,0,0,19,0,0,18000.0,59,1,0,1,1,0,5,0,0,33500.0,1,14,0
75,386,3,0,1,9000.0,0,0,0,0,2014,3,3000,0,750,1,1,0,0,9,1,1,1,0,0,0,0,1,93,1,0,10,0,0,10500.0,51,0,0,1,0,0,1,0,1,19500.0,0,8,0
76,3695,1,0,0,2000.0,1,0,0,0,2007,3,3000,1,750,0,0,0,0,7,1,1,1,0,0,0,2,0,77,0,0,22,0,0,0.0,50,1,0,1,0,0,0,0,1,2000.0,0,13,0
77,3724,3,0,0,10500.0,1,0,0,0,2012,2,2850,0,750,2,0,1,0,9,1,1,1,1,0,0,2,0,152,1,0,5,0,0,0.0,61,0,0,1,0,0,3,0,1,10500.0,0,14,0
78,2075,4,0,0,18000.0,0,0,0,0,2015,2,3000,1,750,3,0,1,0,3,1,1,1,1,0,0,1,0,119,0,1,30,0,0,0.0,41,0,0,1,0,0,5,0,0,18000.0,0,18,1
79,2087,3,0,0,12500.0,1,0,0,0,2016,2,2700,1,750,3,0,0,0,10,1,1,1,0,0,0,0,1,128,0,0,19,0,0,0.0,39,0,0,1,0,0,5,0,1,12500.0,0,15,0
80,435,3,0,1,43500.0,1,0,0,0,2020,2,3000,1,750,1,0,0,0,7,1,0,0,2,0,0,0,0,132,0,1,19,0,0,18000.0,32,1,1,1,0,0,4,0,0,61500.0,0,9,0
81,3740,1,0,0,11000.0,1,0,0,1,2015,2,2700,1,750,2,0,0,0,9,2,1,1,1,0,0,1,0,7,0,0,17,0,0,0.0,43,1,0,1,0,0,1,0,0,11000.0,0,10,0
82,3745,1,0,0,23500.0,1,0,1,0,2016,2,3000,1,750,0,0,0,0,1,1,0,0,0,0,0,0,1,42,0,0,7,0,0,0.0,37,0,0,1,0,0,0,0,1,23500.0,0,11,0
83,2127,3,0,0,9000.0,1,0,1,0,2008,2,2800,1,750,2,0,0,0,9,1,0,0,0,0,0,1,1,113,0,0,30,0,0,0.0,73,0,0,1,0,0,0,0,1,9000.0,0,7,0
84,451,3,0,0,30500.0,0,0,0,0,2018,3,3000,1,750,1,0,0,0,10,1,1,1,2,0,0,1,0,202,0,1,6,0,0,0.0,55,1,0,1,0,0,6,0,0,30500.0,0,15,1
85,462,3,0,0,26500.0,1,0,0,0,2014,5,2550,1,750,0,0,1,0,3,1,1,1,2,0,0,5,0,68,0,0,6,0,0,0.0,36,0,0,1,0,0,2,0,1,26500.0,0,11,0
86,468,3,0,0,11500.0,1,0,0,0,2020,2,3000,1,750,1,0,0,0,10,1,0,1,1,0,0,0,0,108,0,0,3,0,0,0.0,73,1,0,1,0,0,3,0,1,11500.0,0,14,0
87,2149,4,0,1,22000.0,1,0,0,0,2019,3,3000,1,750,1,0,0,0,3,1,1,1,1,0,0,0,1,144,0,1,18,0,0,25000.0,39,0,0,1,0,0,0,0,0,47000.0,0,4,0
88,2153,1,1,0,14500.0,0,1,0,0,2014,1,3000,1,750,2,0,0,0,9,2,0,1,1,0,1,0,0,21,0,0,29,0,0,0.0,38,0,0,0,0,0,6,0,1,14500.0,0,7,0
89,3812,2,0,3,21000.0,1,0,0,0,2011,3,3000,1,750,0,0,1,0,8,1,1,1,2,0,0,2,0,109,0,0,17,0,0,30000.0,28,0,0,1,0,0,5,0,1,51000.0,0,8,0
90,2175,4,0,1,33500.0,0,0,0,0,2015,3,3000,1,750,0,0,1,0,3,1,1,1,2,0,0,2,0,244,0,0,19,0,0,13500.0,64,0,0,1,0,0,1,0,1,47000.0,0,13,1
91,505,3,0,0,7500.0,1,0,1,0,2017,1,2750,1,750,2,0,0,0,10,1,0,0,0,0,0,0,0,123,0,0,3,0,1,0.0,61,1,0,1,0,0,3,0,0,7500.0,0,13,0
92,511,3,0,3,29000.0,1,0,0,0,2020,2,3000,0,750,2,0,1,0,12,1,0,0,2,0,0,1,0,119,1,0,6,0,0,27000.0,65,0,0,1,0,0,4,1,0,56000.0,1,10,0
93,519,3,0,2,17000.0,1,0,0,0,2016,2,3000,1,750,2,0,0,0,6,3,1,1,1,0,0,2,0,44,0,0,14,0,0,26000.0,61,1,0,1,0,0,4,0,1,43000.0,0,7,0
94,523,1,0,0,15500.0,0,0,0,0,2017,3,3000,1,750,0,0,1,0,3,4,1,1,1,1,0,3,0,13,0,1,14,0,0,0.0,19,0,0,1,0,0,3,0,0,15500.0,0,15,1
95,529,2,0,0,11000.0,1,0,1,0,2017,2,3000,0,750,0,0,0,0,4,1,0,0,0,0,0,1,0,92,1,0,6,0,0,0.0,47,1,0,1,0,0,5,0,1,11000.0,0,16,0
96,533,3,0,0,18000.0,1,0,0,0,2019,2,3000,1,750,2,0,0,0,11,1,0,1,1,1,0,2,1,131,0,0,19,0,0,0.0,48,0,0,1,0,0,1,0,1,18000.0,0,10,0
97,3835,2,0,1,34000.0,1,0,0,0,2015,3,2850,1,750,2,0,0,0,8,1,1,1,2,0,0,4,0,219,0,0,20,0,1,25000.0,54,1,0,1,0,0,1,0,0,59000.0,0,12,0
98,537,3,0,0,8000.0,0,0,1,0,2017,2,3000,1,750,0,0,1,0,9,1,0,0,0,0,0,0,0,112,0,0,16,0,0,0.0,34,0,0,1,0,0,0,0,1,8000.0,0,15,1
99,543,3,0,0,1000.0,1,0,1,0,2020,2,3000,0,750,3,0,0,0,5,2,0,0,0,0,0,0,0,55,1,0,12,0,0,0.0,41,1,0,1,0,0,6,0,1,1000.0,0,4,0
100,2221,2,0,0,18500.0,1,0,0,0,2017,2,2700,1,800,1,0,0,0,10,1,0,1,1,0,0,0,0,67,0,1,30,0,0,0.0,32,1,0,1,0,0,2,0,0,18500.0,0,12,0
101,2231,3,0,0,16000.0,1,0,0,0,2013,2,2500,1,850,0,0,0,0,9,1,0,1,1,0,0,0,0,162,0,0,4,0,0,0.0,57,1,0,1,0,0,2,0,1,16000.0,0,16,0
102,2238,4,0,0,3500.0,1,0,1,0,2014,1,3000,0,750,1,0,1,0,1,2,0,0,0,0,0,0,0,39,1,0,11,0,0,0.0,46,0,0,1,0,0,4,0,1,3500.0,0,2,0
103,2254,3,0,2,21500.0,1,0,0,1,2017,2,2900,0,750,1,0,0,0,6,1,0,1,1,0,0,0,0,268,1,0,13,0,0,17500.0,52,1,0,1,0,0,3,0,0,39000.0,0,15,0
104,2266,3,0,1,11000.0,0,0,0,1,2020,2,2850,1,750,1,1,1,0,9,1,0,1,1,0,0,1,0,136,0,0,30,0,0,2000.0,65,0,0,1,0,0,0,0,0,13000.0,0,6,0
105,2278,3,0,1,22500.0,1,0,0,0,2018,2,3000,1,750,0,0,0,0,11,1,1,1,1,0,0,3,0,258,0,1,25,0,0,15000.0,61,1,0,1,0,0,0,0,0,37500.0,0,14,0
106,605,1,0,2,16500.0,1,0,0,0,2019,2,3000,0,750,0,0,0,0,11,2,0,1,1,0,0,1,0,8,1,1,21,0,0,2500.0,18,1,0,1,0,0,3,0,0,19000.0,0,7,0
107,3907,1,0,1,15500.0,1,0,0,0,2013,3,3000,1,750,0,0,0,0,5,1,1,1,1,0,0,0,0,80,0,1,17,0,0,10500.0,63,1,0,1,0,0,4,0,0,26000.0,0,13,0
108,608,4,0,0,11500.0,1,0,1,0,2018,2,3000,1,750,1,0,0,0,7,3,0,0,0,0,0,0,0,45,0,0,1,0,0,0.0,33,1,0,1,0,0,0,0,1,11500.0,0,23,0
109,3921,3,1,0,16500.0,0,1,0,0,2018,1,3000,0,750,3,0,0,0,5,1,0,1,0,0,1,0,0,148,1,0,4,0,0,0.0,44,0,0,0,0,0,5,0,1,16500.0,0,5,0
110,626,3,0,1,36000.0,1,0,0,0,2018,2,2950,0,750,0,0,0,0,10,1,1,1,2,0,0,0,0,97,1,0,24,0,0,2500.0,52,1,0,1,0,0,3,0,1,38500.0,0,16,0
111,2302,4,1,0,7000.0,0,1,0,0,2014,1,3000,1,750,2,0,0,0,1,1,0,1,0,0,1,0,0,150,0,0,7,0,1,0.0,41,0,0,0,0,0,0,0,0,7000.0,0,6,0
112,2305,4,0,0,13000.0,0,1,0,0,2013,1,3000,1,750,0,0,0,1,3,1,1,1,1,1,1,0,0,264,0,0,3,0,0,0.0,66,0,0,0,0,0,6,0,1,13000.0,0,7,0
113,2333,3,0,0,22000.0,0,0,0,0,2020,2,2700,1,750,0,0,0,0,10,3,0,1,1,0,0,0,0,39,0,1,6,0,0,0.0,34,1,0,1,1,0,6,0,0,22000.0,0,7,0
114,665,3,0,1,24000.0,0,0,0,0,2018,2,3000,1,750,0,0,0,0,10,4,0,1,1,0,0,1,0,3,0,0,18,0,0,10000.0,52,1,0,1,0,0,4,0,1,34000.0,0,19,1
115,2338,1,1,0,9500.0,0,1,0,0,2009,1,3000,1,750,3,0,0,0,11,4,0,1,0,0,1,0,0,22,0,0,11,0,0,0.0,37,0,0,0,0,1,0,0,1,9500.0,0,0,0
116,671,3,0,0,8000.0,0,1,0,0,2011,1,3000,1,750,2,0,0,1,10,1,0,1,1,2,1,0,0,155,0,0,13,0,0,0.0,43,0,0,0,0,0,6,0,1,8000.0,0,14,0
117,678,3,0,0,15000.0,0,0,0,0,2017,2,3000,1,750,0,1,1,0,11,1,0,1,1,1,0,0,0,113,0,0,11,0,0,0.0,43,0,0,1,0,0,0,0,1,15000.0,0,6,0
118,2351,2,0,0,10500.0,1,0,1,0,2017,1,3000,1,750,1,0,0,0,12,1,0,0,0,0,0,0,0,115,0,0,4,0,0,0.0,75,1,0,1,0,0,2,0,1,10500.0,0,18,0
119,3953,1,0,2,38000.0,0,0,0,0,2020,4,3000,0,750,0,0,0,0,6,1,1,1,2,0,0,2,0,120,1,0,30,0,0,30000.0,28,1,0,1,0,0,6,0,1,68000.0,0,11,1
120,2357,3,0,1,34500.0,1,0,0,0,2014,2,3000,1,750,3,0,0,0,3,1,0,0,2,0,0,0,0,52,0,0,24,0,0,7000.0,29,1,1,1,0,0,6,0,0,41500.0,1,11,0
121,2358,1,0,0,17000.0,1,0,0,0,2016,3,3000,1,750,3,0,1,0,12,1,1,1,1,0,0,2,0,4,0,0,6,0,0,0.0,21,0,0,1,0,0,4,0,1,17000.0,0,17,0
122,3958,1,0,0,23500.0,1,0,0,0,2017,2,3000,0,750,2,0,1,0,1,1,0,1,1,0,0,2,0,158,1,1,28,0,0,0.0,58,0,0,1,0,0,0,0,0,23500.0,0,13,0
123,2367,3,1,0,6500.0,0,1,0,0,2014,1,3000,0,750,3,0,0,0,3,1,0,1,0,1,1,0,0,200,1,0,14,0,1,0.0,53,0,0,0,0,0,3,0,0,6500.0,0,11,0
